customerid,subscription_start_date,subscription_type,renewal_date,plan_type,contract_type,cancellation_date,cancellation_reason,monthly_charges,cltv,churn_score,churn_flag,customer_name,country,state,gender,dob,complaint_date,escalations,csat_score,complaint_count
0023-HGHWL,2022-08-25,Referral,2023-08-25,Basic,Monthly,2024-05-21,Switched to competitor,7.99,230,99,1,Rishabh,India,Uttar Pradesh,Male,1991-05-14,2025-04-15,Y,79.0,1
0023-UYUPN,2023-11-28,Organic,2024-11-27,Basic,Monthly,2025-08-31,Switched to competitor,9.99,319,81,1,Sudevi,India,Maharashtra,Female,1977-10-06,,,,0
0022-VYSQU,2021-02-06,Referral,2022-02-06,Basic,Annual,2021-07-11,Poor customer support,29.99,3329,82,1,Saanvi,India,Jharkhand,Female,1993-11-07,,,,0
0023-NAXPQ,2021-12-24,Referral,2022-12-24,Basic,Monthly,2022-04-25,Poor customer support,7.99,375,77,1,Nikita,India,Bihar,Female,1998-11-26,,,,0
0024-WOTHL,2023-05-27,Paid,2024-05-26,Standard,Monthly,2025-04-06,Lack of features,7.99,435,93,1,Triya,India,Rajasthan,Female,1988-12-04,2024-03-14,Y,60.0,1
0025-AFWCV,2023-03-08,Paid,2024-03-07,Basic,Monthly,2024-07-30,Lack of features,9.99,566,88,1,Qabil,India,Nagaland,Male,1966-12-22,2026-01-01,Y,44.0,1
0026-AZDDB,2023-11-22,Referral,2024-11-21,Premium,Monthly,,,19.99,2203,14,0,Nihal,India,Kerala,Male,1988-10-26,,,,0
0027-AZRRW,2023-12-05,Paid,2024-12-04,Basic,Monthly,2024-05-20,Lack of features,7.99,699,82,1,Aishani,India,Jharkhand,Female,1988-05-26,,,,0
0028-PDLPK,2025-01-27,Referral,2026-01-27,Standard,Annual,2025-12-25,Switched to competitor,19.99,2007,77,1,Veer,India,Maharashtra,Male,1992-05-07,,,,0
0029-MSYHL,2020-10-14,Organic,2021-10-14,Premium,Annual,2022-02-15,Poor customer support,15.99,1137,75,1,Warhi,India,Gujarat,Female,1973-05-02,,,,0
0030-JWQVP,2022-08-15,Organic,2023-08-15,Premium,Annual,,,29.99,2968,63,0,Riya,India,Nagaland,Female,1975-08-23,2026-06-18,N,64.0,1
0031-YNOPR,2022-05-18,Referral,2023-05-18,Premium,Annual,2023-07-03,Too expensive,8.99,372,98,1,Anjali,India,Maharashtra,Female,2007-09-20,2025-12-16,Y,74.0,1
0032-RZKHS,2021-12-28,Referral,2022-12-28,Standard,Annual,2022-06-18,Switched to competitor,9.99,664,91,1,Megha,India,Delhi,Female,1999-11-04,,,,0
0033-RUYLD,2023-04-11,Organic,2024-04-10,Premium,Monthly,2025-03-09,Too expensive,6.99,390,93,1,Aadhya,India,Punjab,Female,1974-04-21,2026-02-23,Y,64.0,1
0034-WPUAA,2021-10-18,Paid,2022-10-18,Standard,Monthly,,,15.99,1770,41,0,Anusha,India,Punjab,Female,1969-12-14,,,,0
0035-ZBULY,2025-06-01,Paid,2026-06-01,Premium,Monthly,2025-11-12,Too expensive,9.99,284,99,1,Tristan,India,Kerala,Male,1985-04-23,,,,0
0036-GCSHV,2024-11-11,Referral,2025-11-11,Premium,Annual,2025-04-20,Switched to competitor,12.99,850,86,1,Urishilla,India,Telangana,Female,1971-02-23,2026-05-31,Y,51.0,1
0037-TTZRY,2023-05-04,Referral,2024-05-03,Standard,Annual,,,13.99,1597,68,0,Lopa,India,Odisha,Female,1993-04-01,2025-04-02,N,79.0,1
0038-AGOXR,2024-12-17,Paid,2025-12-17,Standard,Annual,2026-10-04,Switched to competitor,8.99,256,78,1,Dayamai,India,Gujarat,Female,1976-04-26,,,,0
0039-EUTIV,2021-06-08,Referral,2022-06-08,Basic,Monthly,2022-05-21,Too expensive,7.99,501,90,1,Brijesh,India,Karnataka,Male,1974-03-25,2025-11-24,Y,60.0,1
0040-BVPKU,2022-07-08,Paid,2023-07-08,Standard,Monthly,2023-03-20,Lack of features,9.99,433,83,1,Priya,India,Rajasthan,Female,1978-07-22,2025-07-17,Y,59.0,1
0041-ZYCWH,2024-11-12,Organic,2025-11-12,Standard,Monthly,,,15.99,719,20,0,Logan,India,Bihar,Male,1970-10-17,2023-09-23,N,50.0,1
0042-UCKCW,2022-04-29,Paid,2023-04-29,Standard,Monthly,,,14.99,1003,6,0,Onveer,India,Punjab,Male,1968-09-15,,,,0
0043-IIZXQ,2024-01-15,Paid,2025-01-14,Premium,Annual,,,22.99,2822,53,0,Pallavi,India,Bihar,Female,1979-08-31,,,,0
0044-LQFHT,2022-05-13,Organic,2023-05-13,Premium,Annual,,,22.99,2769,53,0,Warda,India,Madhya Pradesh,Female,1987-12-12,,,,0
0045-FUYOT,2025-05-04,Organic,2026-05-04,Basic,Annual,,,8.99,571,35,0,Rayaan,India,Punjab,Male,1979-08-26,,,,0
0046-ABUGM,2023-11-19,Organic,2024-11-18,Basic,Annual,2025-02-09,Poor customer support,6.99,541,89,1,Devika,India,Punjab,Female,1979-02-24,2026-04-22,Y,48.0,1
0047-UCWDV,2022-02-16,Paid,2023-02-16,Premium,Monthly,,,22.99,2713,9,0,Oliver,India,Jharkhand,Male,1995-09-24,2026-04-14,N,46.0,1
0048-BPNNF,2024-03-22,Paid,2025-03-22,Premium,Annual,,,24.99,3238,69,0,Hitesh,India,Maharashtra,Male,1987-07-04,2025-07-06,N,72.0,1
0049-CNRXA,2024-03-17,Paid,2025-03-17,Premium,Annual,2024-07-24,Too expensive,6.99,268,83,1,Triya,India,Odisha,Female,2007-07-24,,,,0
0050-UGQOA,2023-11-06,Organic,2024-11-05,Basic,Monthly,2024-08-16,Poor customer support,14.99,1342,93,1,Om,India,Kerala,Male,1989-06-29,2026-03-25,Y,19.0,1
0051-KJEKA,2021-04-14,Organic,2022-04-14,Basic,Monthly,,,9.99,151,26,0,Timothy,India,Jharkhand,Male,2005-06-22,,,,0
0052-XGWRR,2023-05-03,Referral,2024-05-02,Basic,Annual,2025-01-01,Poor customer support,12.99,1376,84,1,Lavanya,India,Madhya Pradesh,Female,1982-08-05,2026-04-26,Y,62.0,1
0053-YTIYG,2024-10-07,Referral,2025-10-07,Standard,Annual,2026-01-28,Switched to competitor,14.99,1524,96,1,Jacob,India,Haryana,Male,1970-08-18,,,,0
0054-BRDBV,2024-09-10,Paid,2025-09-10,Standard,Annual,,,14.99,1531,56,0,Henry,India,Telangana,Male,1984-07-02,,,,0
0055-WOQVB,2022-09-25,Referral,2023-09-25,Premium,Annual,,,24.99,3704,22,0,Hemang,India,West Bengal,Male,1968-03-26,,,,0
0056-OXPUP,2022-09-06,Referral,2023-09-06,Basic,Annual,2023-08-02,Poor customer support,14.99,1755,99,1,Watika,India,Assam,Female,1990-06-15,2026-05-07,Y,86.0,1
0057-UGLTE,2023-04-06,Paid,2024-04-05,Basic,Monthly,2023-09-17,Lack of features,7.99,300,99,1,Atharv,India,Madhya Pradesh,Male,1974-04-23,,,,0
0058-IRUQK,2025-05-22,Paid,2026-05-22,Standard,Monthly,,,13.99,1486,1,0,Noah,India,Jharkhand,Male,1999-02-08,,,,0
0059-FRQRR,2023-07-30,Organic,2024-07-29,Premium,Annual,,,19.99,3541,60,0,Owen,India,Delhi,Male,1969-01-02,,,,0
0060-LBKFI,2021-10-12,Organic,2022-10-12,Basic,Monthly,,,7.99,274,41,0,Samarth,India,Kerala,Male,1973-11-28,,,,0
0061-WAHDS,2021-03-27,Organic,2022-03-27,Premium,Annual,,,29.99,3867,21,0,Panini,India,Uttar Pradesh,Female,1996-09-21,2025-09-06,N,26.0,1
0062-EKTXK,2022-08-21,Paid,2023-08-21,Premium,Annual,,,29.99,3643,67,0,Lekha,India,Haryana,Female,1972-04-24,2025-09-28,N,13.0,1
0063-SHWLH,2022-12-19,Referral,2023-12-19,Standard,Monthly,,,13.99,1262,43,0,Yadavi,India,Maharashtra,Female,1986-09-23,2024-10-11,N,76.0,1
0064-SSZHD,2021-06-12,Paid,2022-06-12,Basic,Monthly,2021-11-14,Lack of features,6.99,291,81,1,Balveer,India,West Bengal,Male,1983-03-17,2025-02-13,Y,20.0,1
0065-WKXZN,2024-04-25,Organic,2025-04-25,Standard,Monthly,,,15.99,1551,3,0,Ria,India,Nagaland,Female,1981-09-18,,,,0
0066-AFFIT,2024-10-24,Paid,2025-10-24,Premium,Monthly,,,29.99,3753,54,0,George,India,Rajasthan,Male,1981-10-07,,,,0
0067-FSHRW,2024-03-26,Paid,2025-03-26,Basic,Monthly,2025-08-12,Switched to competitor,13.99,1699,85,1,Ayush,India,Madhya Pradesh,Male,1987-11-27,,,,0
0068-TACAM,2024-01-23,Paid,2025-01-22,Premium,Monthly,,,22.99,3987,4,0,Abdul,India,Nagaland,Male,1997-09-09,,,,0
0069-PRCEN,2024-10-02,Paid,2025-10-02,Basic,Annual,2025-08-04,Lack of features,9.99,288,85,1,Vrinda,India,Uttar Pradesh,Female,1984-06-12,,,,0
0070-WDNOE,2022-11-04,Organic,2023-11-04,Basic,Monthly,2024-05-28,Too expensive,9.99,434,77,1,Aashi,India,Nagaland,Female,1976-07-04,,,,0
0071-VIDQK,2021-02-27,Paid,2022-02-27,Premium,Annual,,,19.99,3233,6,0,Ojasvi,India,Haryana,Female,1966-10-19,,,,0
0072-HHWHK,2022-04-30,Referral,2023-04-30,Premium,Annual,,,22.99,2616,61,0,Abha,India,Uttar Pradesh,Female,1975-03-23,,,,0
0073-URFCI,2025-06-20,Organic,2026-06-20,Basic,Annual,2026-01-13,Switched to competitor,13.99,1652,94,1,Advay,India,Jharkhand,Male,1967-02-10,2025-05-01,Y,17.0,1
0074-LNFBN,2022-06-04,Referral,2023-06-04,Premium,Annual,,,19.99,1905,49,0,Azad,India,Nagaland,Male,2005-02-13,,,,0
0075-PEVFG,2020-12-16,Organic,2021-12-16,Standard,Annual,,,13.99,855,39,0,Chasmum,India,Punjab,Female,1997-10-05,,,,0
0076-ZQPEH,2020-12-05,Paid,2021-12-05,Premium,Annual,,,19.99,1968,65,0,Tanveer,India,Telangana,Male,1984-11-11,2025-03-27,N,57.0,1
0077-GEXXP,2021-02-18,Paid,2022-02-18,Standard,Annual,,,12.99,1560,59,0,Frederick,India,Bihar,Male,1989-07-12,2024-05-12,N,25.0,1
0078-AFXRK,2022-04-23,Organic,2023-04-23,Premium,Annual,,,29.99,2521,69,0,Saksham,India,Karnataka,Male,1971-12-26,2026-02-27,N,33.0,1
0079-SDUST,2023-02-09,Referral,2024-02-09,Premium,Annual,,,29.99,3584,32,0,Wishi,India,Telangana,Female,1979-09-21,,,,0
0080-UYZFD,2024-03-05,Paid,2025-03-05,Premium,Annual,,,19.99,2942,49,0,Ubika,India,Odisha,Female,1998-04-30,,,,0
0081-STGKG,2021-08-27,Paid,2022-08-27,Basic,Monthly,,,9.99,482,44,0,Jeet,India,Rajasthan,Male,1977-03-14,2025-11-18,N,97.0,1
0082-IHVFU,2023-02-22,Paid,2024-02-22,Basic,Monthly,2024-10-04,No longer required,8.99,160,88,1,Saumya,India,Karnataka,Female,1971-04-16,,,,0
0083-WJUAV,2024-07-05,Paid,2025-07-05,Premium,Annual,,,29.99,3810,52,0,Matthew,India,West Bengal,Male,2002-11-01,,,,0
0084-JWINR,2023-06-19,Referral,2024-06-18,Standard,Monthly,,,14.99,1455,43,0,Anusha,India,Madhya Pradesh,Female,1967-01-05,2024-12-19,N,44.0,1
0085-PETDK,2024-08-04,Paid,2025-08-04,Standard,Monthly,,,15.99,1254,41,0,Oni,India,Karnataka,Female,1981-10-25,,,,0
0086-IBIWB,2023-02-14,Referral,2024-02-14,Basic,Monthly,,,7.99,346,68,0,Ekavir,India,Nagaland,Male,1994-03-06,,,,0
0087-PDKNK,2022-06-20,Paid,2023-06-20,Standard,Monthly,,,12.99,1097,69,0,Tanish,India,Telangana,Male,1998-06-21,,,,0
0088-MGBIB,2024-07-11,Referral,2025-07-11,Basic,Monthly,2026-02-23,Too expensive,6.99,205,99,1,Ayushman,India,Bihar,Male,1979-02-12,,,,0
0089-JXUHU,2021-10-05,Paid,2022-10-05,Premium,Annual,,,24.99,3722,33,0,Ayaan,India,Jharkhand,Male,1986-04-28,,,,0
0090-UWVGY,2021-02-22,Paid,2022-02-22,Standard,Annual,2021-07-16,Switched to competitor,29.99,2267,95,1,Krishna,India,Delhi,Female,1979-08-24,,,,0
0091-BELPM,2024-08-25,Paid,2025-08-25,Basic,Annual,,,8.99,237,29,0,Jack,India,Gujarat,Male,1995-12-21,,,,0
0092-RQQQD,2023-07-15,Paid,2024-07-14,Premium,Annual,,,29.99,3645,55,0,Amol,India,Punjab,Male,1982-08-02,,,,0
0093-EPOMX,2022-02-02,Paid,2023-02-02,Standard,Annual,2022-07-25,Switched to competitor,6.99,251,96,1,Ayush,India,Nagaland,Male,2006-12-16,2023-12-10,Y,52.0,1
0094-ZBTJY,2024-05-19,Referral,2025-05-19,Basic,Monthly,2024-09-19,Switched to competitor,6.99,310,84,1,Udarsh,India,Haryana,Male,1975-11-15,,,,0
0095-DUMGC,2020-11-17,Paid,2021-11-17,Basic,Monthly,2022-10-11,Switched to competitor,8.99,614,100,1,Varsha,India,Gujarat,Female,1999-12-17,2025-05-23,Y,36.0,1
0096-GELQN,2022-02-02,Organic,2023-02-02,Basic,Annual,2023-03-13,No longer required,13.99,1005,80,1,Chaman,India,Odisha,Female,1968-10-10,2024-04-30,Y,95.0,1
0097-GZOWK,2023-07-20,Referral,2024-07-19,Premium,Monthly,,,24.99,3598,35,0,Abha,India,Kerala,Female,1975-02-22,2025-06-07,N,86.0,1
0098-ASADH,2023-10-18,Paid,2024-10-17,Standard,Monthly,,,15.99,1596,42,0,Kabir,India,Punjab,Male,2001-11-25,,,,0
0099-IXLBO,2024-02-28,Referral,2025-02-27,Standard,Monthly,,,12.99,887,3,0,Girish,India,Bihar,Male,1976-08-26,,,,0
0100-HAJJE,2023-10-22,Paid,2024-10-21,Premium,Annual,,,24.99,1964,57,0,Lipika,India,Kerala,Female,1995-11-02,2026-07-01,N,76.0,1
0101-ADPVZ,2024-02-16,Referral,2025-02-15,Premium,Annual,2025-07-08,Poor customer support,22.99,3585,86,1,Pranav,India,Rajasthan,Male,1978-01-13,,,,0
0102-HVWTF,2021-11-20,Referral,2022-11-20,Standard,Monthly,2023-09-04,Too expensive,6.99,314,87,1,Amol,India,Gujarat,Male,1977-11-03,,,,0
0103-OGVFU,2021-02-17,Organic,2022-02-17,Standard,Monthly,,,14.99,1216,66,0,Udarsh,India,Gujarat,Male,2000-05-05,,,,0
0104-GEGGF,2022-12-07,Paid,2023-12-07,Premium,Annual,,,19.99,3692,64,0,Henry,India,Madhya Pradesh,Male,1974-02-25,2024-11-17,N,75.0,1
0105-OEDEA,2020-08-17,Paid,2021-08-17,Standard,Monthly,,,12.99,1116,63,0,Keya,India,Nagaland,Female,1985-06-10,,,,0
0106-VBCXV,2020-11-07,Paid,2021-11-07,Basic,Monthly,2021-06-01,Lack of features,7.99,312,82,1,Forum,India,Tamil Nadu,Female,1982-12-31,,,,0
0107-UEUPD,2021-09-23,Paid,2022-09-23,Premium,Annual,,,22.99,3841,54,0,Ranbir,India,Karnataka,Male,1975-12-07,,,,0
0108-CLQHC,2021-01-28,Paid,2022-01-28,Premium,Annual,,,29.99,2798,66,0,Krishna,India,Jharkhand,Female,1966-10-07,,,,0
0109-AMVYM,2022-01-29,Organic,2023-01-29,Premium,Annual,,,22.99,2085,65,0,Urvi,India,Jharkhand,Female,1966-09-08,,,,0
0110-VZXBS,2024-08-26,Organic,2025-08-26,Standard,Monthly,2026-04-09,Switched to competitor,6.99,439,96,1,Eta,India,Tamil Nadu,Female,1969-08-13,,,,0
0111-KTVRF,2020-07-15,Organic,2021-07-15,Standard,Monthly,,,15.99,1406,42,0,Fitan,India,West Bengal,Male,2006-02-07,,,,0
0112-XTADC,2025-01-15,Organic,2026-01-15,Premium,Annual,2026-08-12,Lack of features,22.99,3368,98,1,Vritti,India,Odisha,Female,1981-07-04,,,,0
0113-OXFUK,2023-02-20,Paid,2024-02-20,Standard,Annual,,,13.99,1714,43,0,Anita,India,Haryana,Female,1973-04-08,2024-11-05,N,60.0,1
0114-OKBEN,2022-05-24,Referral,2023-05-24,Premium,Annual,,,29.99,2208,53,0,Urvashi,India,Maharashtra,Female,1995-10-11,2026-02-13,N,82.0,1
0115-TDDVY,2020-07-18,Organic,2021-07-18,Premium,Annual,,,22.99,2106,51,0,Jatin,India,Madhya Pradesh,Male,1998-06-01,2024-01-17,N,15.0,1
0116-SEXCG,2025-04-03,Paid,2026-04-03,Standard,Monthly,,,14.99,1792,63,0,Neel,India,Madhya Pradesh,Male,1973-11-01,2025-11-25,N,89.0,1
0117-YFFOE,2020-08-01,Referral,2021-08-01,Premium,Annual,,,19.99,2080,30,0,Faris,India,Rajasthan,Male,2005-01-09,,,,0
0118-OYVJG,2020-11-24,Referral,2021-11-24,Basic,Annual,2021-12-25,Too expensive,29.99,2203,80,1,Fitan,India,Punjab,Male,1972-08-08,2024-06-18,Y,96.0,1
0119-IQQLD,2024-07-28,Paid,2025-07-28,Basic,Monthly,2026-05-28,Switched to competitor,6.99,450,88,1,Kalpit,India,Rajasthan,Male,1969-06-14,2026-03-14,Y,96.0,1
0120-SJEMV,2023-07-22,Paid,2024-07-21,Basic,Monthly,,,6.99,541,19,0,Indali,India,Maharashtra,Female,1997-12-29,,,,0
0121-QOYQN,2022-04-10,Paid,2023-04-10,Basic,Monthly,,,8.99,620,37,0,Upma,India,Telangana,Female,1995-12-29,2026-04-03,N,49.0,1
0122-YEEPP,2024-11-18,Paid,2025-11-18,Standard,Monthly,,,13.99,851,55,0,Rudra,India,Bihar,Male,1968-02-23,,,,0
0123-ISAZO,2024-10-26,Paid,2025-10-26,Standard,Monthly,,,15.99,1318,31,0,Manan,India,Karnataka,Male,1983-09-13,,,,0
0124-EAWNP,2025-02-03,Paid,2026-02-03,Standard,Annual,,,14.99,1305,51,0,Megha,India,Jharkhand,Female,2003-09-22,,,,0
0125-GDEGU,2023-11-14,Organic,2024-11-13,Basic,Annual,,,6.99,658,30,0,Ayush,India,Madhya Pradesh,Male,1993-02-05,,,,0
0126-FTTBR,2023-10-17,Referral,2024-10-16,Standard,Annual,,,14.99,1148,18,0,Hamsini,India,Haryana,Female,1986-09-14,2024-12-03,N,49.0,1
0127-HWCEV,2022-01-25,Paid,2023-01-25,Standard,Annual,,,12.99,1332,17,0,Jagrati,India,Telangana,Female,1989-08-31,2026-05-09,N,62.0,1
0128-RNZDT,2025-04-03,Paid,2026-04-03,Premium,Monthly,2026-07-11,No longer required,8.99,484,92,1,Ansh,India,West Bengal,Male,1973-11-23,,,,0
0129-MNSPG,2021-08-04,Organic,2022-08-04,Standard,Monthly,,,14.99,1036,38,0,Devansh,India,West Bengal,Male,2005-02-28,2026-06-10,N,35.0,1
0130-PWOXT,2021-01-02,Paid,2022-01-02,Premium,Annual,,,24.99,2271,29,0,Tanvi,India,West Bengal,Female,1988-05-06,,,,0
0131-ELXFH,2023-06-04,Paid,2024-06-03,Premium,Monthly,,,29.99,3298,16,0,Niharika,India,Maharashtra,Female,1980-03-14,2023-08-04,N,72.0,1
0132-XTTMT,2025-05-24,Organic,2026-05-24,Basic,Annual,2026-12-17,Too expensive,14.99,1480,82,1,Omkaar,India,Rajasthan,Male,1979-11-05,2024-07-12,Y,13.0,1
0133-DZHJD,2022-02-04,Referral,2023-02-04,Standard,Annual,,,14.99,1153,39,0,Vrishti,India,Assam,Female,2002-02-06,,,,0
0134-JAJFH,2024-12-24,Paid,2025-12-24,Standard,Monthly,,,12.99,986,15,0,Nirja,India,Assam,Female,1975-04-25,2026-04-08,N,18.0,1
0135-BBLEX,2024-05-05,Referral,2025-05-05,Basic,Monthly,,,7.99,547,54,0,Kala,India,Madhya Pradesh,Female,1969-03-17,2026-03-31,N,44.0,1
0136-TFHUH,2021-07-02,Organic,2022-07-02,Standard,Annual,,,13.99,1549,36,0,Ryan,India,Uttar Pradesh,Male,1998-05-25,,,,0
0137-QDOHQ,2024-10-10,Organic,2025-10-10,Basic,Monthly,,,8.99,372,13,0,Rudra,India,Madhya Pradesh,Male,1983-02-15,,,,0
0138-DEFGA,2021-01-25,Paid,2022-01-25,Premium,Monthly,,,24.99,3269,59,0,Nikita,India,Karnataka,Female,1992-08-27,2026-06-18,N,80.0,1
0139-CNXTH,2020-10-14,Paid,2021-10-14,Basic,Monthly,,,7.99,171,27,0,Tanvi,India,Odisha,Female,1996-05-27,,,,0
0140-HEVIF,2022-07-17,Paid,2023-07-17,Basic,Annual,,,7.99,371,1,0,Vrishti,India,Kerala,Female,1975-08-01,,,,0
0141-GMQTM,2024-11-10,Organic,2025-11-10,Premium,Monthly,2025-06-22,Too expensive,7.99,283,75,1,Leela,India,Madhya Pradesh,Female,2000-10-02,,,,0
0142-XQBQM,2023-08-19,Paid,2024-08-18,Basic,Monthly,2025-05-08,Too expensive,13.99,1363,88,1,Hitesh,India,Gujarat,Male,1988-01-26,,,,0
0143-ZAIJP,2022-05-03,Referral,2023-05-03,Basic,Annual,2023-03-15,No longer required,29.99,3636,91,1,Amaira,India,Madhya Pradesh,Female,1976-11-25,2026-01-19,Y,15.0,1
0144-WOYAJ,2024-06-11,Paid,2025-06-11,Basic,Monthly,,,8.99,619,52,0,Varenya,India,Kerala,Female,2002-09-11,2024-05-25,N,73.0,1
0145-NJHAL,2023-11-23,Paid,2024-11-22,Standard,Annual,,,12.99,1704,42,0,Dhriti,India,Nagaland,Female,1972-01-03,2025-09-25,N,40.0,1
0146-XLTED,2022-07-14,Referral,2023-07-14,Standard,Monthly,,,12.99,958,42,0,Raksha,India,Gujarat,Female,2001-12-08,,,,0
0147-NVEHY,2023-05-28,Paid,2024-05-27,Standard,Annual,,,14.99,1629,15,0,Amara,India,Jharkhand,Female,1981-04-25,,,,0
0148-JRSHA,2022-07-12,Paid,2023-07-12,Premium,Annual,,,22.99,3561,59,0,David,India,Assam,Male,1973-01-14,2026-01-07,N,64.0,1
0149-LRBPA,2024-01-12,Referral,2025-01-11,Standard,Monthly,,,12.99,1340,20,0,Nidra,India,Haryana,Female,1988-04-26,2025-02-28,N,82.0,1
0150-EJJCA,2023-07-21,Paid,2024-07-20,Standard,Monthly,,,15.99,837,48,0,Eiravati,India,Uttar Pradesh,Female,2002-05-03,2025-02-19,N,10.0,1
0151-YVBDT,2025-02-01,Paid,2026-02-01,Premium,Annual,,,19.99,3150,55,0,Rayaan,India,Haryana,Male,1986-05-24,,,,0
0152-HLAEM,2021-12-19,Paid,2022-12-19,Premium,Annual,,,19.99,2978,28,0,Vansha,India,Punjab,Female,1983-07-13,,,,0
0153-IUJGY,2023-05-15,Paid,2024-05-14,Premium,Annual,2024-05-24,No longer required,9.99,379,78,1,Upkaar,India,Odisha,Male,1969-10-27,,,,0
0154-AQBPK,2023-01-17,Referral,2024-01-17,Basic,Monthly,,,9.99,176,4,0,Garima,India,Rajasthan,Female,2006-03-13,2025-09-14,N,85.0,1
0155-YYWPT,2024-07-09,Paid,2025-07-09,Standard,Monthly,2025-11-21,Too expensive,8.99,497,96,1,Maanav,India,Delhi,Male,1971-02-24,,,,0
0156-ANMZT,2023-01-21,Paid,2024-01-21,Standard,Monthly,2023-09-29,Poor customer support,6.99,243,85,1,Rishi,India,Karnataka,Male,1996-08-15,2025-10-03,Y,92.0,1
0157-HZVWG,2025-05-04,Paid,2026-05-04,Basic,Annual,,,8.99,236,7,0,Janya,India,Nagaland,Female,1997-09-20,2025-09-25,N,29.0,1
0158-MTXIB,2022-08-03,Referral,2023-08-03,Standard,Annual,,,14.99,1607,35,0,Samarth,India,Tamil Nadu,Male,1966-07-11,,,,0
0159-TMMWF,2024-06-04,Paid,2025-06-04,Basic,Monthly,,,6.99,503,63,0,Meghana,India,Punjab,Female,2005-01-24,,,,0
0160-NCKDJ,2022-06-06,Organic,2023-06-06,Basic,Monthly,2023-07-09,Switched to competitor,14.99,793,81,1,Leena,India,Tamil Nadu,Female,2003-11-21,,,,0
0161-KTMOD,2020-11-29,Paid,2021-11-29,Premium,Annual,,,24.99,2985,23,0,Kai,India,Kerala,Male,1980-12-07,2025-01-31,N,64.0,1
